Reviewer Name, Review Text, Rating, Verified, Date, Helpful Votes, Unhelpful Votes, Review Length, Contains Images, Contains Video
"Alex", "I got this scooter to help me get to the bus stops quick since my car got stolen had to find a way to get around meanwhile. I love it perfect size. Makes it much easier for me.", "5 out of 5 stars review Verified Purchase Alex", "Not Verified", "", "", "", "38", "No Image", "No Video"
"Jennifer", "Shoppers should know before buying that this vehicle becomes very loose with the screws. After use you HAVE to tighten the bars. Otherwise you'll be turning left and your wheel still be going straight. This will cause quick wear on the mechanisms. I'm going to get a refund. Positive note, the scooter is stylish.", "2 out of 5 stars review Verified Purchase Jennifer", "Not Verified", "", "", "", "54", "No Image", "No Video"
"Fischmom", "As a mother of four kids, we have owned our fair share of scooters! But this scooter is by far the best! It rolls super smooth and we love the larger wheels. I can actually fold this scooter (our others ones claimed to fold but you needed luck and some brute strength to do so) but this folds easily! You can tell it is made of quality material, too. My daughter loves the colors and that it has a kickstand! I love the kickstand because it is one less thing lying on the garage floor. As you can tell, I highly recommend this scooter!", "5 out of 5 stars review Verified Purchase Fischmom", "Not Verified", "12/19/2020", "", "", "104", "No Image", "No Video"
"sai", "Like everyone else I was having trouble with keeping the scooter locked. Checked everywhere for a tutorial but nothing so I started reading the reviews to see if anyone else was having this same issue", "5 out of 5 stars review Verified Purchase sai", "Not Verified", "8/6/2020", "", "", "35", "No Image", "No Video"
"Patrick", "Everything I expected!!! Great price! This brings back memories of a scooter I enjoyed riding as a kid, in my younger days and it looks as though I going to enjoy riding this one just as much if not more!", "5 out of 5 stars review Verified Purchase Patrick", "Not Verified", "3/12/2021", "", "", "40", "No Image", "No Video"
"Anna", "Great size for older kids. I would say it is kinda small for an adult. Bought it for my 10yo kid. Nice, sturdy, well made. Great price! (Amazon asks twice the price for the comparable model) Needs assembling, but it is easy. Overall I am very pleased with the purchase.", "5 out of 5 stars review Verified Purchase Anna", "Not Verified", "5/5/2020", "", "", "50", "No Image", "No Video"
"Alex", "I got this scooter to help me get to the bus stops quick since my car got stolen had to find a way to get around meanwhile. I love it perfect size. Makes it much easier for me.", "5 out of 5 stars review Verified Purchase Alex", "Not Verified", "3/1/2024", "", "", "38", "No Image", "No Video"
"Rayray", "My 7 yr old nephew loves this scooter! It works better for him in the desert than the smaller wheels. Took it to the skate park held up pretty good. Now I gotta buy a few more this yr. For my kids and other nieces abs nephews.", "5 out of 5 stars review Verified Purchase Rayray", "Not Verified", "4/6/2020", "", "", "47", "No Image", "No Video"
"Noel", "Very well designed and structured, nice colors, the only thing is that the little foot needed to be extended to balance the weight of the scooter. I had to basically glue a piece of plastic (check my picture) other than that all good", "5 out of 5 stars review Verified Purchase Noel", "Not Verified", "6/12/2021", "", "", "43", "No Image", "No Video"
"AMRIT", "It has a critical flaw and cannot stay open I try to Google, check on their website even emailed them didnt find any answer. I was about to return it but then finally figured it out. There is this small rubber strip which prevent it from fully opening. You just need to remove this rubber strip ,see the photos and it will work like Magic. Thanks", "4 out of 5 stars review Verified Purchase AMRIT", "Not Verified", "8/2/2020", "", "", "66", "No Image", "No Video"
"Magnumbull", "I read some of the reviews about people not being able to assemble it so they returned it. The instructions don't explain properly how to do it. I almost gave up too and then tried one last time. The secret to making it lockn into the upright position it to give it a jerking snap. With a quick motion of the wrist, the handlebars lock into place. I tried it again and again and that seems to be the method with the highest success rate. Otherwise, the board doesn't lock and stays grounded. The ride is smooth, the scooter is heavy and feels sturdy. Sometimes, I like to ride on it for a minute or two while my kid is on the swings. My 4 yr old rides this and she can't use the kickstand by herself, so it is definitely for larger and stronger ki...", "4 out of 5 stars review Verified Purchase Magnumbull", "Not Verified", "12/25/2020", "", "", "146", "No Image", "No Video"
"Jennifer", "Shoppers should know before buying that this vehicle becomes very loose with the screws. After use you HAVE to tighten the bars. Otherwise you'll be turning left and your wheel still be going straight. This will cause quick wear on the mechanisms. I'm going to get a refund. Positive note, the scooter is stylish.", "2 out of 5 stars review Verified Purchase Jennifer", "Not Verified", "8/8/2023", "", "", "54", "No Image", "No Video"
"Mellissa", "The handle bars are wobbly there is no way to tighten them. I tried to and it just strips the bolts. The grip tape is peeling up right out of the box. Other than that it’s an okay ride but it feels like I built it. Frame seems sturdy really like the folding feature much easier than other scooters. Instructions are weak.", "2 out of 5 stars review Verified Purchase Mellissa", "Not Verified", "4/7/2023", "", "", "62", "No Image", "No Video"
"Eric", "We bought the scooter for an Easter present in April of 2023 for my 10 year who weighs only 95lbs. We read instructions and put the scooter together as it says in the instructions as to do so He only road it a couple times prior to the situation that just occurred when the bar / collar clamp (shown in pictures ) fell apart, and my son fell, and broken his arm because it fell apart.! So if I was you I wouldn't buy this for your child or anyone you don't want to see get hurt .", "1 out of 5 stars review Verified Purchase Eric", "Not Verified", "4/21/2023", "", "", "98", "No Image", "No Video"
"Nancy", "Bought scooter less than a month ago son was riding it . Bottom weld broke its junk now time to throw it away. Sad that its made so cheap.", "1 out of 5 stars review Nancy Walmart Associate", "Not Verified", "5/5/2020", "", "", "29", "No Image", "No Video"
"Karly", "Purchased for my son and he loves it, it was very easy to put together and is well made. He has been kruzing up and down the streets for the past 2 days!", "5 out of 5 stars review Verified Purchase Karly", "Not Verified", "6/11/2023", "", "", "33", "No Image", "No Video"
"Jasmine", "Scooter front wheel handle will not stay aligned! Did not notice until a few weeks ago that it really never stayed in alignment. Very disappointed and I’m out of the return policy window. Will be reaching out to the manufacturer", "1 out of 5 stars review Verified Purchase Jasmine", "Not Verified", "3/21/2023", "", "", "40", "No Image", "No Video"
"JUAN", "I am 5'7 and I ride this scooter at least once a week. it's built of good quality at a good price. as long as the road is flat without imperfections this scooter will ride smooth. it bends easy for storage.", "4 out of 5 stars review Verified Purchase JUAN", "Not Verified", "10/27/2020", "", "", "41", "No Image", "No Video"
"ruben", "definitely worth 👌", "5 out of 5 stars review Verified Purchase ruben", "Not Verified", "3/9/2024", "", "", "3", "No Image", "No Video"
"Wellwisher", "Such a great scooter at unbelievable price. I see it is backed up by 3 year warranty. I thought of buying Razor one earlier but glad this purchase did not disappointed me. Everything came ready in box and my teenager just inserted handle in it. I did not had problem of lock/unlock that other buyers mentioned in the reviews This works for elementary kid to adult commuter and must have for every house :-). I have to mention that , it has very little effort due to big smooth wheels, good job Walmart", "5 out of 5 stars review Verified Purchase Wellwisher", "Not Verified", "10/8/2020", "", "", "93", "No Image", "No Video"
"Vladislav", "Because Madd service was so good!", "5 out of 5 stars review Verified Purchase Vladislav", "Not Verified", "8/10/2023", "", "", "6", "No Image", "No Video"
"LilMomma", "I bought this scooter for my 10yr old. Loved his so much I bought one for myself too! This scooter is big enough for adults,young kids and teens!", "5 out of 5 stars review Verified Purchase LilMomma", "Not Verified", "6/14/2023", "", "", "28", "No Image", "No Video"
